Timestamp,Score,Full Name:,Index Number:,An example of computer application software include…..,Floppy disk is a storage,Which of the following is the name of a code used to represent characters?,The content of a selected cell is shown in the, On which part of the computer screen does an icon appear by default?, Which of the following is odd among the group?,The software that enable users access web pages on the internet is called,"To switch off the computer, you are to first click………",Which of the following statements best describe a computer operator? A person who,"To switch off the computer, you are to first click….",The top row keys can also be called the……,"The largest, fastest, most expensive type of computer is _____________ computer.",Which of the following is a type of computer?, Which of the following is NOT a storage device?,Which of the following is the most likely source of a computer virus?,Which of the following devices will turn off first when shutting down the computer?, What is the best way of protecting your computer from a virus?, Computer virus is capable of, A program on the computer which enables users to type their project works is the…., CD-RW stands for…
10/09/2020 11:36:20,20 / 20,Peki Blengo,100000790,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,super,Hybrid,Mouse,Internet downloading,System unit,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
10/09/2020 16:42:05,18 / 20,Mamprobi,9069335565,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,main frame,Hybrid,Mouse,Liverpool FC supporters,System unit,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
10/09/2020 16:39:56,17 / 20,Chorkor,0069693344,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,main frame,Hybrid,Mouse,Liverpool FC supporters,Monitor,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
10/09/2020 11:30:59,16 / 20,Kwadaso,100000789,Microsoft Excel,Device,ISBN,title bar,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,smart keys,personal,Hybrid,Mouse,Internet downloading,System unit,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
10/09/2020 11:42:19,15 / 20,Senya Berekum,100000912,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,super,Hybrid,Mouse,Internet downloading,Uninterruptible Power Supply,Regular blowing of dust,making the computer works faster,spreadsheet,Control Display Random Writable
10/09/2020 16:37:49,12 / 20,Jerusalem Town,00999669912,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,server,Displayable.,Mouse,Liverpool FC supporters,Stabilizer,Cover the computer when not in use,making the work of the computer easy,operating system,Control Display Run Wide
10/09/2020 16:37:58,12 / 20,Jerusalem Town,00999669912,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,server,Displayable.,Mouse,Liverpool FC supporters,Stabilizer,Cover the computer when not in use,making the work of the computer easy,operating system,Control Display Run Wide
10/09/2020 11:22:53,9 / 20, Kukukrantumi,0020503056,Microsoft Excel,Device,ISBN,formula bar.,lower,Printer,browser,shutdown,obtains a degree in computer science and its related fields of study,shutdown,,personal,Systematic display,Hard disk,Internet downloading,System unit,Installing anti-virus software,slowing down the computer system performance,browser,Compact Disc Rewritable
10/09/2020 11:30:22,8 / 20,Aburi,0256454880,Windows XP,Device,ASCII,name box.,middle,Printer,web site,display,obtains a degree in computer science and its related fields of study,Start button,qwerty keys,personal,Hybrid,Hard disk,Internet downloading,Stabilizer,Making sure it doesn’t heat,making the work of the computer easy,word processor,Compact Disc Rewritable
10/09/2020 14:53:06,8 / 20,Aburi,0256454880,Windows XP,Device,ASCII,name box.,middle,Printer,web site,display,obtains a degree in computer science and its related fields of study,Start button,qwerty keys,personal,Hybrid,Hard disk,Internet downloading,Stabilizer,Making sure it doesn’t heat,making the work of the computer easy,word processor,Compact Disc Rewritable
29/11/2021 09:19:10,8 / 20,Castro Agbo,171111,Microsoft Excel,Device,ASCII,formula bar.,lower,Speaker,browser,shutdown,operate the device which inputs and outputs data from the computer,shutdown,smart keys,super,Displayable.,Mouse,A Government website,Stabilizer,Regular blowing of dust,making the computer works faster,browser,Compact  disc Rewind Wide
10/09/2020 16:35:38,3 / 20,Israeltown,0011223359,Windows XP,System,CPU,title bar,middle,Monitor,browser,OK,obtains a degree in computer science and its related fields of study,OK,smart keys,personal,Systematic display,Mouse,Liverpool FC supporters,Stabilizer,Making sure it doesn’t heat,slowing down the computer system performance,browser,Compact  disc Rewind Wide
