Full Name:,Index Number:,Score,An example of computer application software include…..,Floppy disk is a storage,Which of the following is the name of a code used to represent characters?,The content of a selected cell is shown in the, On which part of the computer screen does an icon appear by default?, Which of the following is odd among the group?,The software that enable users access web pages on the internet is called,"To switch off the computer, you are to first click………",Which of the following statements best describe a computer operator? A person who,"To switch off the computer, you are to first click….",The top row keys can also be called the……,"The largest, fastest, most expensive type of computer is _____________ computer.",Which of the following is a type of computer?, Which of the following is NOT a storage device?,Which of the following is the most likely source of a computer virus?,Which of the following devices will turn off first when shutting down the computer?, What is the best way of protecting your computer from a virus?, Computer virus is capable of, A program on the computer which enables users to type their project works is the…., CD-RW stands for…
Peki Blengo,100000790,20,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,super,Hybrid,Mouse,Internet downloading,System unit,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
Mamprobi,9069335565,18,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,main frame,Hybrid,Mouse,Liverpool FC supporters,System unit,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
Chorkor,0069693344,17,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,main frame,Hybrid,Mouse,Liverpool FC supporters,Monitor,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
Kwadaso,100000789,16,Microsoft Excel,Device,ISBN,title bar,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,smart keys,personal,Hybrid,Mouse,Internet downloading,System unit,Installing anti-virus software,slowing down the computer system performance,word processor,Compact Disc Rewritable
Senya Berekum,100000912,15,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,super,Hybrid,Mouse,Internet downloading,Uninterruptible Power Supply,Regular blowing of dust,making the computer works faster,spreadsheet,Control Display Random Writable
Jerusalem Town,00999669912,12,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,server,Displayable.,Mouse,Liverpool FC supporters,Stabilizer,Cover the computer when not in use,making the work of the computer easy,operating system,Control Display Run Wide
Jerusalem Town,00999669912,12,Microsoft Excel,Device,ASCII,formula bar.,left side,Mouse,browser,start button,operate the device which inputs and outputs data from the computer,Start button,qwerty keys,server,Displayable.,Mouse,Liverpool FC supporters,Stabilizer,Cover the computer when not in use,making the work of the computer easy,operating system,Control Display Run Wide
 Kukukrantumi,0020503056,9,Microsoft Excel,Device,ISBN,formula bar.,lower,Printer,browser,shutdown,obtains a degree in computer science and its related fields of study,shutdown,,personal,Systematic display,Hard disk,Internet downloading,System unit,Installing anti-virus software,slowing down the computer system performance,browser,Compact Disc Rewritable
Aburi,0256454880,8,Windows XP,Device,ASCII,name box.,middle,Printer,web site,display,obtains a degree in computer science and its related fields of study,Start button,qwerty keys,personal,Hybrid,Hard disk,Internet downloading,Stabilizer,Making sure it doesn’t heat,making the work of the computer easy,word processor,Compact Disc Rewritable
Aburi,0256454880,8,Windows XP,Device,ASCII,name box.,middle,Printer,web site,display,obtains a degree in computer science and its related fields of study,Start button,qwerty keys,personal,Hybrid,Hard disk,Internet downloading,Stabilizer,Making sure it doesn’t heat,making the work of the computer easy,word processor,Compact Disc Rewritable
Castro Agbo,171111,8,Microsoft Excel,Device,ASCII,formula bar.,lower,Speaker,browser,shutdown,operate the device which inputs and outputs data from the computer,shutdown,smart keys,super,Displayable.,Mouse,A Government website,Stabilizer,Regular blowing of dust,making the computer works faster,browser,Compact  disc Rewind Wide
Israeltown,0011223359,3,Windows XP,System,CPU,title bar,middle,Monitor,browser,OK,obtains a degree in computer science and its related fields of study,OK,smart keys,personal,Systematic display,Mouse,Liverpool FC supporters,Stabilizer,Making sure it doesn’t heat,slowing down the computer system performance,browser,Compact  disc Rewind Wide
